,name,price,color,feature_dict,link
20,"
Unihoc ICONIC SUPERSKIN REG 26 white/black","
59.45 € 


Old price:  75.38 €
Recommended retail price:  107.69 €


","
white / black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2021/2022', 'The lower number, the harder shaft', 'Top Grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'ICONIC', 'Indicates the hardness of the blade', 'yes', '225g', 'straight', '80 % carbon / 20 % glass fibre']}",https://www.efloorball.net/p/38099/unihoc-iconic-superskin-reg-26-white-black-floorball-stick?ts=p_1_3_21
21,"
Zone floorball HYPER Composite 29 black/ice pink","
81.80 €","
black / pink","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Original grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Hyper', 'Indicates the hardness of the blade', 'yes', '246g', 'straight']}",https://www.efloorball.net/p/39306/zone-floorball-hyper-composite-29-black-ice-pink-floorball-stick?ts=p_1_3_22
22,"
Salming Hawk Tourlite Aero","
79.41 € 


Old price:  91.37 €
Recommended retail price:  131.63 €


","
Blue / light blue","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2019/2020', 'The lower number, the harder shaft', 'Ultimate', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Hawk', 'Indicates the hardness of the blade', 'yes', '225g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/33365/salming-hawk-tourlite-aero-floorball-stick?ts=p_1_3_23
23,"
Unihoc ICONIC SUPERSKIN PRO FL 29 black/turquoise","
79.41 € 


Old price:  99.36 €
Recommended retail price:  131.63 €


","
black / turquoise","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2021/2022', 'The lower number, the harder shaft', 'Superskin', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'ICONIC', 'Indicates the hardness of the blade', 'yes', '206g', 'straight', '95 % carbon / 5 % glass fibre']}",https://www.efloorball.net/p/36997/unihoc-iconic-superskin-pro-fl-29-black-turquoise-floorball-stick?ts=p_1_3_24
24,"
OxDog HYPERLIGHT HES 29 BK ROUND MBC","
167.14 € 


Recommended retail price:  168.58 €


","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Ultralight', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Optilight Carbon', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38623/oxdog-hyperlight-hes-29-bk-round-mbc-floorball-stick?ts=p_1_3_25
25,"
OxDog G.O.A.T. Supersonic HES 27 AU ROUND MBC2","
238.41 €","
black / gold","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'SUPERTECH', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'FSL (FASTSHOOTLIGHT) CARBON 2', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/40368/oxdog-g-o-a-t-supersonic-hes-27-au-round-mbc2-floorball-stick?ts=p_1_3_26
26,"
Zone floorball HYPER AIR Ultralight 29 white marble","
79.77 € 


Recommended retail price:  103.70 €


","
white / black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2021/2022', 'The lower number, the harder shaft', 'Air grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Hyper', 'Indicates the hardness of the blade', 'yes', '214g', 'straight', '80 % carbon / 20 % glass fibre']}",https://www.efloorball.net/p/37258/zone-floorball-hyper-air-ultralight-29-white-marble-floorball-stick?ts=p_1_3_27
27,"
Unihoc PLAYER+ Curve 1.5 29 SMU","
59.45 € 


Old price:  79.77 €
Recommended retail price:  139.25 €


","
cerise","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:'], 'Key': ['2015', 'The lower number, the harder shaft', 'Basic', 'Indicates the shape when holding the stick', 'Player+', 'Indicates the hardness of the blade', 'yes']}",https://www.efloorball.net/p/16999/floorball-stick-unihoc-cavity-curve-1-5-29-smu-15?ts=p_1_3_28
28,"
FLOORBEE MINI Starter","
13.13 €","
yellow / purple","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Protector', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'STARTER', 'Indicates the hardness of the blade', 'No', '153g', 'straight']}",https://www.efloorball.net/p/40263/floorbee-mini-starter-floorball-stick?ts=p_1_3_29
29,"
Zone floorball ZUPER AIRLIGHT 27 holographic/white","
79.41 € 


Old price:  157.61 €
Recommended retail price:  169.57 €


","
hologram/white","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Airlight grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Zuper', 'Indicates the hardness of the blade', 'yes', '199g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/35234/zone-floorball-zuper-airlight-27-holographic-white-floorball-stick?ts=p_1_3_30
30,"
Unihoc UNILITE SUPERSKIN MAX TITAN 26 black","
159.57 € 


Old price:  171.17 €
Recommended retail price:  183.50 €


","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Superskin', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'UNILITE', 'Indicates the hardness of the blade', 'yes', '192g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/39340/unihoc-unilite-superskin-max-titan-26-black-floorball-stick?ts=p_1_3_31
31,"
OxDog ULTIMATELIGHT HES 27 CO ROUND MBC2","
188.54 €","
Black / Bronze","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'SUPERTECH', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'FSL (FASTSHOOTLIGHT) CARBON 2', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38625/oxdog-ultimatelight-hes-27-co-round-mbc2-floorball-stick?ts=p_1_3_32
32,"
Unihoc Basic SNIPER 30","
27.90 €","
white / blue","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'IFF Certification:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Micro fiber Grip™', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Ace', 'yes', 'straight']}",https://www.efloorball.net/p/27278/unihoc-sniper-30-floorbal-stick?ts=p_1_3_33
